,Candidate,Raised,Spent,Cash on Hand,Last Report,state,district
0,Jerry Carl (R)  • Winner,"$1,971,321","$1,859,349","$111,973",12/31/2020,AL,01
1,James Averhart (D),"$80,095","$78,973","$1,122",12/31/2020,AL,01
2,Barry Moore (R)  • Winner,"$650,807","$669,368","-$13,633",12/31/2020,AL,02
3,Phyllis Harvey-Hall (D),"$56,050","$55,988",$0,12/31/2020,AL,02
4,Mike D Rogers (R)  • Incumbent • Winner,"$1,193,111","$1,218,564","$502,234",12/31/2020,AL,03
5,Adia Winfrey (D),"$50,273","$40,971",$43,12/31/2020,AL,03
6,Robert B Aderholt (R)  • Incumbent • Winner,"$1,255,076","$1,323,812","$647,004",12/31/2020,AL,04
7,Rick Neighbors (D),"$46,068","$45,034","$1,034",12/31/2020,AL,04
8,Mo Brooks (R)  • Incumbent • Winner,"$655,365","$210,045","$1,137,501",12/31/2020,AL,05
9,Gary Palmer (R)  • Incumbent • Winner,"$907,219","$909,082","$370,688",12/31/2020,AL,06
10,Terri Sewell (D)  • Incumbent • Winner,"$2,168,165","$1,495,957","$2,243,480",12/31/2020,AL,07
11,Don Young (R)  • Incumbent • Winner,"$1,922,901","$1,790,448","$249,173",12/31/2020,AK,01
12,Alyse Galvin (I),"$5,178,452","$5,088,103","$96,594",12/31/2020,AK,01
13,Tom O'Halleran (D)  • Incumbent • Winner,"$3,381,353","$3,324,138","$63,147",12/31/2020,AZ,01
14,Tiffany Shedd (R),"$1,675,618","$1,615,704","$63,347",12/31/2020,AZ,01
15,Ann Kirkpatrick (D)  • Incumbent • Winner,"$1,849,862","$1,384,765","$537,288",12/31/2020,AZ,02
16,Brandon Martin (R),"$374,821","$381,067","-$7,418",12/31/2020,AZ,02
17,Raul M Grijalva (D)  • Incumbent • Winner,"$843,560","$655,507","$226,209",12/31/2020,AZ,03
18,Daniel Wood (R),"$41,422","$41,962",-$539,11/23/2020,AZ,03
19,Paul Gosar (R)  • Incumbent • Winner,"$622,151","$729,892","$13,459",12/31/2020,AZ,04
20,Delina DiSanto (D),"$77,168","$79,758","$5,974",12/31/2020,AZ,04
21,Andy Biggs (R)  • Incumbent • Winner,"$1,602,181","$1,236,380","$651,047",12/31/2020,AZ,05
22,Joan Greene (D),"$356,069","$209,789","$147,117",12/31/2020,AZ,05
23,David Schweikert (R)  • Incumbent • Winner,"$2,265,329","$2,249,979","$59,582",12/31/2020,AZ,06
24,Hiral Tipirneni (D),"$6,301,073","$6,366,702","$34,973",12/31/2020,AZ,06
25,Tom Lewellen (I),"$11,685","$11,000","-$3,293",12/31/2020,AZ,06
26,Ruben Gallego (D)  • Incumbent • Winner,"$1,811,754","$1,653,961","$616,971",12/31/2020,AZ,07
27,Josh Barnett (R),"$28,093","$17,883","$10,210",10/14/2020,AZ,07
28,Debbie Lesko (R)  • Incumbent • Winner,"$1,605,245","$987,453","$688,633",12/31/2020,AZ,08
29,Michael Muscato (D),"$357,906","$347,734","$10,172",12/31/2020,AZ,08
30,Greg Stanton (D)  • Incumbent • Winner,"$2,001,619","$1,001,350","$1,044,655",12/31/2020,AZ,09
31,Dave Giles (R),"$130,480","$129,935",$546,12/31/2020,AZ,09
32,Rick Crawford (R)  • Incumbent • Winner,"$966,801","$1,095,518","$182,708",12/31/2020,AR,01
33,French Hill (R)  • Incumbent • Winner,"$3,384,490","$3,020,491","$410,779",12/31/2020,AR,02
34,Joyce Elliott (D),"$3,482,463","$3,478,733","$3,730",12/31/2020,AR,02
35,Steve Womack (R)  • Incumbent • Winner,"$1,127,158","$923,120","$1,363,257",12/31/2020,AR,03
36,Celeste Williams (D) (D),"$355,294","$355,294",$0,11/30/2020,AR,03
37,Bruce Westerman (R)  • Incumbent • Winner,"$1,407,770","$1,102,573","$976,806",12/31/2020,AR,04
38,William Hanson (D),"$109,767","$111,683","-$1,916",12/31/2020,AR,04
39,Doug LaMalfa (R)  • Incumbent • Winner,"$1,219,556","$1,155,945","$91,242",12/31/2020,CA,01
