,Unnamed: 0,name,raised,spent,state,district,party,incumbent,race
0,0,Jerry Carl ,1971321,1859349,AL,1,R,False,True
1,1,James Averhart,80095,78973,AL,1,D,False,False
2,2,Barry Moore ,650807,669368,AL,2,R,False,True
3,3,Phyllis Harvey-Hall,56050,55988,AL,2,D,False,False
4,4,Mike D Rogers ,1193111,1218564,AL,3,D,True,True
5,5,Adia Winfrey,50273,40971,AL,3,D,False,False
6,6,Robert B Aderholt ,1255076,1323812,AL,4,B,True,True
7,7,Rick Neighbors,46068,45034,AL,4,D,False,False
8,8,Mo Brooks ,655365,210045,AL,5,R,True,True
9,9,Gary Palmer ,907219,909082,AL,6,R,True,True
10,10,Terri Sewell ,2168165,1495957,AL,7,D,True,True
11,11,Don Young ,1922901,1790448,AK,1,R,True,True
12,12,Alyse Galvin,5178452,5088103,AK,1,I,False,False
13,13,Tom O'Halleran ,3381353,3324138,AZ,1,O,True,True
14,14,Tiffany Shedd,1675618,1615704,AZ,1,R,False,False
15,15,Ann Kirkpatrick ,1849862,1384765,AZ,2,D,True,True
16,16,Brandon Martin,374821,381067,AZ,2,R,False,False
17,17,Raul M Grijalva ,843560,655507,AZ,3,M,True,True
18,18,Daniel Wood,41422,41962,AZ,3,R,False,False
19,19,Paul Gosar ,622151,729892,AZ,4,R,True,True
20,20,Delina DiSanto,77168,79758,AZ,4,D,False,False
21,21,Andy Biggs ,1602181,1236380,AZ,5,R,True,True
22,22,Joan Greene,356069,209789,AZ,5,D,False,False
23,23,David Schweikert ,2265329,2249979,AZ,6,R,True,True
24,24,Hiral Tipirneni,6301073,6366702,AZ,6,D,False,False
25,25,Tom Lewellen,11685,11000,AZ,6,I,False,False
26,26,Ruben Gallego ,1811754,1653961,AZ,7,D,True,True
27,27,Josh Barnett,28093,17883,AZ,7,R,False,False
28,28,Debbie Lesko ,1605245,987453,AZ,8,R,True,True
29,29,Michael Muscato,357906,347734,AZ,8,D,False,False
30,30,Greg Stanton ,2001619,1001350,AZ,9,D,True,True
31,31,Dave Giles,130480,129935,AZ,9,R,False,False
32,32,Rick Crawford ,966801,1095518,AR,1,R,True,True
33,33,French Hill ,3384490,3020491,AR,2,R,True,True
