district,name,party,incumbent,winner,raised,spent,state
AL01,Jerry Carl ,R,False,True,1971321,1859349,Alabama
AL01,James Averhart ,D,False,False,80095,78973,Alabama
AL02,Barry Moore ,R,False,True,650807,669368,Alabama
AL02,Phyllis Harvey-Hall ,D,False,False,56050,55988,Alabama
AL03,Mike D Rogers ,R,True,True,1193111,1218564,Alabama
AL03,Adia Winfrey ,D,False,False,50273,40971,Alabama
AL04,Robert B Aderholt ,R,True,True,1255076,1323812,Alabama
AL04,Rick Neighbors ,D,False,False,46068,45034,Alabama
AL05,Mo Brooks ,R,True,True,655365,210045,Alabama
AL06,Gary Palmer ,R,True,True,907219,909082,Alabama
AL07,Terri Sewell ,D,True,True,2168165,1495957,Alabama
AK01,Don Young ,R,True,True,1922901,1790448,Alaska
AK01,Alyse Galvin ,I,False,False,5178452,5088103,Alaska
AZ01,Tom O'Halleran ,D,True,True,3381353,3324138,Arizona
AZ01,Tiffany Shedd ,R,False,False,1675618,1615704,Arizona
AZ02,Ann Kirkpatrick ,D,True,True,1849862,1384765,Arizona
AZ02,Brandon Martin ,R,False,False,374821,381067,Arizona
AZ03,Raul M Grijalva ,D,True,True,843560,655507,Arizona
AZ03,Daniel Wood ,R,False,False,41422,41962,Arizona
AZ04,Paul Gosar ,R,True,True,622151,729892,Arizona
AZ04,Delina DiSanto ,D,False,False,77168,79758,Arizona
AZ05,Andy Biggs ,R,True,True,1602181,1236380,Arizona
AZ05,Joan Greene ,D,False,False,356069,209789,Arizona
AZ06,David Schweikert ,R,True,True,2265329,2249979,Arizona
AZ06,Hiral Tipirneni ,D,False,False,6301073,6366702,Arizona
AZ06,Tom Lewellen ,I,False,False,11685,11000,Arizona
AZ07,Ruben Gallego ,D,True,True,1811754,1653961,Arizona
AZ07,Josh Barnett ,R,False,False,28093,17883,Arizona
AZ08,Debbie Lesko ,R,True,True,1605245,987453,Arizona
AZ08,Michael Muscato ,D,False,False,357906,347734,Arizona
AZ09,Greg Stanton ,D,True,True,2001619,1001350,Arizona
AZ09,Dave Giles ,R,False,False,130480,129935,Arizona
AR01,Rick Crawford ,R,True,True,966801,1095518,Arkansas
AR02,French Hill ,R,True,True,3384490,3020491,Arkansas
AR02,Joyce Elliott ,D,False,False,3482463,3478733,Arkansas
AR03,Steve Womack ,R,True,True,1127158,923120,Arkansas
AR03,Celeste Williams ,D,False,False,355294,355294,Arkansas
AR04,Bruce Westerman ,R,True,True,1407770,1102573,Arkansas
AR04,William Hanson ,D,False,False,109767,111683,Arkansas
CA01,Doug LaMalfa ,R,True,True,1219556,1155945,California
CA01,Audrey Denney ,D,False,False,2461769,2457661,California
CA02,Jared Huffman ,D,True,True,899419,797753,California
CA02,Dale Mensing ,R,False,False,5921,2197,California
CA03,John Garamendi ,D,True,True,1054066,667320,California
CA03,Tamika Hamilton ,R,False,False,397099,384584,California
CA04,Tom McClintock ,R,True,True,2053363,2107248,California
CA04,Brynne Kennedy ,D,False,False,3006020,3002532,California
CA05,Mike Thompson ,D,True,True,2208136,2022751,California
CA06,Doris Matsui ,D,True,True,1019605,1073529,California
CA06,Christine Bish ,R,False,False,44772,44554,California
CA07,Ami Bera ,D,True,True,1757748,1053444,California
CA07,Buzz Patterson ,R,False,False,43876,29614,California
CA08,Jay Obernolte ,R,False,True,1861647,1792064,California
CA08,Chris Bubser ,D,False,False,1858001,1856613,California
CA09,Jerry McNerney ,D,True,True,1177959,1112543,California
CA09,Tony Amador ,R,False,False,52175,52175,California
CA10,Josh Harder ,D,True,True,7400135,3950613,California
CA10,Ted Howze ,R,False,False,1426552,1721882,California
CA11,Mark Desaulnier ,D,True,True,610394,440537,California
CA11,Nisha Sharma ,R,False,False,174954,171870,California
CA12,Nancy Pelosi ,D,True,True,27359508,22064953,California
CA12,Shahid Buttar ,D,False,False,1672876,1650467,California
CA13,Barbara Lee ,D,True,True,1828213,1750142,California
CA13,Nikka Piterman ,R,False,False,9839,9904,California
CA14,Jackie Speier ,D,True,True,942934,919599,California
CA15,Eric Swalwell ,D,True,True,2807774,3977839,California
CA16,Jim Costa ,D,True,True,2135525,1835244,California
CA16,Kevin Cookingham ,R,False,False,265364,265364,California
CA17,Ro Khanna ,D,True,True,3837982,2455457,California
CA17,Ritesh Tandon ,R,False,False,175536,175015,California
CA18,Anna Eshoo ,D,True,True,2114909,2059158,California
CA18,Rishi Kumar ,D,False,False,674383,691938,California
CA19,Zoe Lofgren ,D,True,True,1755555,1731700,California
CA19,Justin Aguilera ,R,False,False,9112,11542,California
CA20,Jimmy Panetta ,D,True,True,2009894,1592671,California
CA20,Jeff Gorman ,R,False,False,67634,64947,California
CA21,TJ Cox ,D,True,False,5695157,5694005,California
CA21,David Valadao ,R,False,True,4067880,3982587,California
CA22,Devin Nunes ,R,True,True,26825212,20156093,California
CA22,Phil Arballo ,D,False,False,5091451,5062185,California
CA23,Kevin McCarthy ,R,True,True,27780644,24265583,California
CA23,Kim Mangone ,D,False,False,1671101,1665373,California
CA24,Salud Carbajal ,D,True,True,2117836,1451622,California
CA24,Andy Caldwell ,R,False,False,1298798,1268199,California
CA25,Mike Garcia ,R,True,True,9962507,9584648,California
CA25,Christy Smith ,D,False,False,5977734,5808477,California
CA26,Julia Brownley ,D,True,True,1976695,1314677,California
CA26,Ronda Kennedy ,R,False,False,246226,67208,California
CA27,Judy Chu ,D,True,True,1213706,956298,California
CA27,Johnny Nalbandian ,R,False,False,39584,39159,California
CA28,Adam Schiff ,D,True,True,19382855,10188664,California
CA28,Eric Early ,R,False,False,4085322,3790027,California
CA29,Tony Cardenas ,D,True,True,1419697,1213588,California
CA29,Angelica Duenas ,3,False,False,78083,76627,California
CA30,Brad Sherman ,D,True,True,1513374,1111826,California
CA31,Pete Aguilar ,D,True,True,2475748,1861434,California
CA31,Agnes Gibboney ,R,False,False,138687,127907,California
CA32,Grace Napolitano ,D,True,True,478426,251047,California
CA32,Joshua Scott ,R,False,False,23624,14248,California
CA33,Ted Lieu ,D,True,True,1661436,1582573,California
CA33,James Bradley ,R,False,False,78910,79035,California
CA34,Jimmy Gomez ,D,True,True,1401166,1268312,California
CA34,David Kim ,D,False,False,193430,80381,California
CA35,Norma Torres ,D,True,True,654727,664600,California
CA35,Mike Cargile ,R,False,False,36113,35915,California
CA36,Raul Ruiz ,D,True,True,2402624,1732443,California
CA36,Erin Cruz ,R,False,False,54217,53840,California
CA37,Karen Bass ,D,True,True,2216467,1202942,California
CA37,Errol Webber ,R,False,False,66398,174076,California
CA38,Linda Sanchez ,D,True,True,1246008,1140165,California
CA39,Gil Cisneros ,D,True,False,4370133,4350464,California
CA39,Young Kim ,R,False,True,6424556,6021651,California
CA40,Lucille Roybal-Allard ,D,True,True,739790,741379,California
CA40,Antonio Delgado ,R,False,False,85014,79270,California
CA41,Mark Takano ,D,True,True,1020456,949494,California
CA41,Aja Smith ,R,False,False,660658,659909,California
CA42,Ken Calvert ,R,True,True,1441812,1549113,California
CA42,Liam O'Mara ,D,False,False,130065,128782,California
CA43,Maxine Waters ,D,True,True,1836660,1906957,California
CA43,Joe Collins ,R,False,False,10556626,9921103,California
CA44,Nanette Barragan ,D,True,True,1173909,714023,California
CA45,Katie Porter ,D,True,True,16627706,6443700,California
CA45,Greg Raths ,R,False,False,1245767,1241713,California
CA46,Lou Correa ,D,True,True,1192715,650707,California
CA47,Alan Lowenthal ,D,True,True,678648,854902,California
CA47,John Briscoe ,R,False,False,25302,21538,California
CA48,Harley Rouda ,D,True,False,5968858,6174443,California
CA48,Michelle Steel ,R,False,True,6305665,6148591,California
CA49,Mike Levin ,D,True,True,3845768,2901566,California
CA49,Brian Maryott ,R,False,False,2810253,2808217,California
CA50,Darrell Issa ,R,False,True,11239670,10947106,California
CA50,Ammar Campa-Najjar ,D,False,False,6248210,6247762,California
CA51,Juan Vargas ,D,True,True,799734,801671,California
CA51,Juan Hidalgo ,R,False,False,83730,81182,California
CA52,Scott Peters ,D,True,True,1911791,2131849,California
CA52,James Debello ,R,False,False,233464,224630,California
CA53,Sara Jacobs ,D,False,True,7678363,7586186,California
CA53,Georgette Gomez ,D,False,False,1691794,1663252,California
CO01,Diana DeGette ,D,True,True,1201026,1077130,Colorado
CO02,Joseph Neguse ,D,True,True,1353325,674602,Colorado
CO02,Charles Winn ,R,False,False,98338,98338,Colorado
CO02,Alex Johnson ,I,False,False,4782,4093,Colorado
CO03,Diane Mitsch Bush ,D,False,False,5008274,4984238,Colorado
CO03,Lauren Boebert ,R,False,True,2989510,2632716,Colorado
CO03,Chris Milton ,3,False,False,12012,12012,Colorado
CO04,Ken Buck ,R,True,True,478984,539393,Colorado
