state,district,name,party,incumbent,winner,type of contribution,amount,percentage
Alabama,AL01,Jerry Carl,R,False,True,Small Individual Contributions (≤ $200),44580,0.0226
Alabama,AL01,Jerry Carl,R,False,True,Large Individual Contributions,999616,0.5071
Alabama,AL01,Jerry Carl,R,False,True,PAC Contributions*,387000,0.1963
Alabama,AL01,Jerry Carl,R,False,True,Candidate self-financing,434656,0.2205
Alabama,AL01,Jerry Carl,R,False,True,Other,105470,0.0535
Alabama,AL01,James Averhart,D,False,False,Small Individual Contributions (≤ $200),12895,0.161
Alabama,AL01,James Averhart,D,False,False,Large Individual Contributions,37955,0.4739
Alabama,AL01,James Averhart,D,False,False,PAC Contributions*,0,0.0
Alabama,AL01,James Averhart,D,False,False,Candidate self-financing,29245,0.3651
Alabama,AL01,James Averhart,D,False,False,Other,0,0.0
Alabama,AL02,Barry Moore,R,False,True,Small Individual Contributions (≤ $200),62208,0.0956
Alabama,AL02,Barry Moore,R,False,True,Large Individual Contributions,346329,0.5322
Alabama,AL02,Barry Moore,R,False,True,PAC Contributions*,230282,0.3538
Alabama,AL02,Barry Moore,R,False,True,Candidate self-financing,11500,0.0177
Alabama,AL02,Barry Moore,R,False,True,Other,489,0.0008
Alabama,AL02,Phyllis Harvey-Hall,D,False,False,Small Individual Contributions (≤ $200),15307,0.2731
Alabama,AL02,Phyllis Harvey-Hall,D,False,False,Large Individual Contributions,27105,0.4836
Alabama,AL02,Phyllis Harvey-Hall,D,False,False,PAC Contributions*,2032,0.0363
Alabama,AL02,Phyllis Harvey-Hall,D,False,False,Candidate self-financing,10575,0.1887
Alabama,AL02,Phyllis Harvey-Hall,D,False,False,Other,1030,0.0184
Alabama,AL03,Mike D Rogers,R,True,True,Small Individual Contributions (≤ $200),5315,0.0045000000000000005
Alabama,AL03,Mike D Rogers,R,True,True,Large Individual Contributions,438054,0.36719999999999997
Alabama,AL03,Mike D Rogers,R,True,True,PAC Contributions*,744734,0.6242
Alabama,AL03,Mike D Rogers,R,True,True,Candidate self-financing,0,0.0
Alabama,AL03,Mike D Rogers,R,True,True,Other,5009,0.0042
Alabama,AL03,Adia Winfrey,D,False,False,Small Individual Contributions (≤ $200),36483,0.7256999999999999
Alabama,AL03,Adia Winfrey,D,False,False,Large Individual Contributions,10430,0.2075
Alabama,AL03,Adia Winfrey,D,False,False,PAC Contributions*,108,0.0021
Alabama,AL03,Adia Winfrey,D,False,False,Candidate self-financing,700,0.0139
Alabama,AL03,Adia Winfrey,D,False,False,Other,2552,0.0508
Alabama,AL04,Robert B Aderholt,R,True,True,Small Individual Contributions (≤ $200),61459,0.049
Alabama,AL04,Robert B Aderholt,R,True,True,Large Individual Contributions,479663,0.3822
Alabama,AL04,Robert B Aderholt,R,True,True,PAC Contributions*,739300,0.589
Alabama,AL04,Robert B Aderholt,R,True,True,Candidate self-financing,0,0.0
Alabama,AL04,Robert B Aderholt,R,True,True,Other,-25346,-0.0202
Alabama,AL04,Rick Neighbors,D,False,False,Small Individual Contributions (≤ $200),7932,0.1722
Alabama,AL04,Rick Neighbors,D,False,False,Large Individual Contributions,25090,0.5446
Alabama,AL04,Rick Neighbors,D,False,False,PAC Contributions*,9505,0.20629999999999998
Alabama,AL04,Rick Neighbors,D,False,False,Candidate self-financing,3781,0.0821
Alabama,AL04,Rick Neighbors,D,False,False,Other,-239,-0.0052
Alabama,AL05,Mo Brooks,R,True,True,Small Individual Contributions (≤ $200),21804,0.0333
Alabama,AL05,Mo Brooks,R,True,True,Large Individual Contributions,395551,0.6036
Alabama,AL05,Mo Brooks,R,True,True,PAC Contributions*,250020,0.3815
Alabama,AL05,Mo Brooks,R,True,True,Candidate self-financing,0,0.0
Alabama,AL05,Mo Brooks,R,True,True,Other,-12010,-0.0183
Alabama,AL06,Gary Palmer,R,True,True,Small Individual Contributions (≤ $200),1095,0.0012
Alabama,AL06,Gary Palmer,R,True,True,Large Individual Contributions,468075,0.5159
Alabama,AL06,Gary Palmer,R,True,True,PAC Contributions*,397600,0.43829999999999997
Alabama,AL06,Gary Palmer,R,True,True,Candidate self-financing,0,0.0
Alabama,AL06,Gary Palmer,R,True,True,Other,40449,0.0446
Alabama,AL07,Terri Sewell,D,True,True,Small Individual Contributions (≤ $200),27663,0.0128
Alabama,AL07,Terri Sewell,D,True,True,Large Individual Contributions,379899,0.1752
Alabama,AL07,Terri Sewell,D,True,True,PAC Contributions*,1760803,0.8120999999999999
Alabama,AL07,Terri Sewell,D,True,True,Candidate self-financing,0,0.0
Alabama,AL07,Terri Sewell,D,True,True,Other,-200,-0.0001
Alaska,AK01,Don Young,R,True,True,Small Individual Contributions (≤ $200),170093,0.0885
Alaska,AK01,Don Young,R,True,True,Large Individual Contributions,793323,0.41259999999999997
Alaska,AK01,Don Young,R,True,True,PAC Contributions*,839095,0.4364
Alaska,AK01,Don Young,R,True,True,Candidate self-financing,0,0.0
Alaska,AK01,Don Young,R,True,True,Other,120391,0.0626
Alaska,AK01,Alyse Galvin,I,False,False,Small Individual Contributions (≤ $200),1269203,0.2451
Alaska,AK01,Alyse Galvin,I,False,False,Large Individual Contributions,3526935,0.6811
Alaska,AK01,Alyse Galvin,I,False,False,PAC Contributions*,340487,0.0658
Alaska,AK01,Alyse Galvin,I,False,False,Candidate self-financing,4372,0.0008
Alaska,AK01,Alyse Galvin,I,False,False,Other,37456,0.0072
Arizona,AZ01,Tom O'Halleran,D,True,True,Small Individual Contributions (≤ $200),238333,0.0705
Arizona,AZ01,Tom O'Halleran,D,True,True,Large Individual Contributions,1593792,0.47130000000000005
Arizona,AZ01,Tom O'Halleran,D,True,True,PAC Contributions*,1434694,0.4243
Arizona,AZ01,Tom O'Halleran,D,True,True,Candidate self-financing,0,0.0
Arizona,AZ01,Tom O'Halleran,D,True,True,Other,114534,0.0339
Arizona,AZ01,Tiffany Shedd,R,False,False,Small Individual Contributions (≤ $200),123157,0.0735
Arizona,AZ01,Tiffany Shedd,R,False,False,Large Individual Contributions,1039568,0.6204
Arizona,AZ01,Tiffany Shedd,R,False,False,PAC Contributions*,257700,0.15380000000000002
Arizona,AZ01,Tiffany Shedd,R,False,False,Candidate self-financing,72706,0.0434
Arizona,AZ01,Tiffany Shedd,R,False,False,Other,182487,0.10890000000000001
Arizona,AZ02,Ann Kirkpatrick,D,True,True,Small Individual Contributions (≤ $200),415731,0.22469999999999998
Arizona,AZ02,Ann Kirkpatrick,D,True,True,Large Individual Contributions,766926,0.4146
Arizona,AZ02,Ann Kirkpatrick,D,True,True,PAC Contributions*,690001,0.373
Arizona,AZ02,Ann Kirkpatrick,D,True,True,Candidate self-financing,0,0.0
Arizona,AZ02,Ann Kirkpatrick,D,True,True,Other,-22796,-0.0123
Arizona,AZ02,Brandon Martin,R,False,False,Small Individual Contributions (≤ $200),62710,0.1673
Arizona,AZ02,Brandon Martin,R,False,False,Large Individual Contributions,311330,0.8306
Arizona,AZ02,Brandon Martin,R,False,False,PAC Contributions*,6000,0.016
Arizona,AZ02,Brandon Martin,R,False,False,Candidate self-financing,0,0.0
Arizona,AZ02,Brandon Martin,R,False,False,Other,-5220,-0.0139
Arizona,AZ03,Raul M Grijalva,D,True,True,Small Individual Contributions (≤ $200),193493,0.22940000000000002
Arizona,AZ03,Raul M Grijalva,D,True,True,Large Individual Contributions,395667,0.469
Arizona,AZ03,Raul M Grijalva,D,True,True,PAC Contributions*,264095,0.3131
Arizona,AZ03,Raul M Grijalva,D,True,True,Candidate self-financing,0,0.0
Arizona,AZ03,Raul M Grijalva,D,True,True,Other,-9695,-0.0115
Arizona,AZ03,Daniel Wood,R,False,False,Small Individual Contributions (≤ $200),16259,0.3925
Arizona,AZ03,Daniel Wood,R,False,False,Large Individual Contributions,18883,0.4559
Arizona,AZ03,Daniel Wood,R,False,False,PAC Contributions*,6800,0.1642
Arizona,AZ03,Daniel Wood,R,False,False,Candidate self-financing,0,0.0
Arizona,AZ03,Daniel Wood,R,False,False,Other,-519,-0.0125
Arizona,AZ04,Paul Gosar,R,True,True,Small Individual Contributions (≤ $200),141905,0.2281
Arizona,AZ04,Paul Gosar,R,True,True,Large Individual Contributions,249199,0.40049999999999997
Arizona,AZ04,Paul Gosar,R,True,True,PAC Contributions*,240092,0.3859
Arizona,AZ04,Paul Gosar,R,True,True,Candidate self-financing,0,0.0
Arizona,AZ04,Paul Gosar,R,True,True,Other,-9045,-0.014499999999999999
Arizona,AZ04,Delina DiSanto,D,False,False,Small Individual Contributions (≤ $200),22212,0.2878
Arizona,AZ04,Delina DiSanto,D,False,False,Large Individual Contributions,51374,0.6657
Arizona,AZ04,Delina DiSanto,D,False,False,PAC Contributions*,1072,0.0139
Arizona,AZ04,Delina DiSanto,D,False,False,Candidate self-financing,0,0.0
Arizona,AZ04,Delina DiSanto,D,False,False,Other,2509,0.0325
Arizona,AZ05,Andy Biggs,R,True,True,Small Individual Contributions (≤ $200),634093,0.3958
Arizona,AZ05,Andy Biggs,R,True,True,Large Individual Contributions,678865,0.42369999999999997
Arizona,AZ05,Andy Biggs,R,True,True,PAC Contributions*,363780,0.2271
Arizona,AZ05,Andy Biggs,R,True,True,Candidate self-financing,0,0.0
Arizona,AZ05,Andy Biggs,R,True,True,Other,-74556,-0.04650000000000001
Arizona,AZ05,Joan Greene,D,False,False,Small Individual Contributions (≤ $200),139249,0.3911
Arizona,AZ05,Joan Greene,D,False,False,Large Individual Contributions,78346,0.22
Arizona,AZ05,Joan Greene,D,False,False,PAC Contributions*,1048,0.0029
Arizona,AZ05,Joan Greene,D,False,False,Candidate self-financing,139236,0.391
Arizona,AZ05,Joan Greene,D,False,False,Other,-1810,-0.0051
Arizona,AZ06,David Schweikert,R,True,True,Small Individual Contributions (≤ $200),107948,0.04769999999999999
Arizona,AZ06,David Schweikert,R,True,True,Large Individual Contributions,1325194,0.585
Arizona,AZ06,David Schweikert,R,True,True,PAC Contributions*,680536,0.3004
Arizona,AZ06,David Schweikert,R,True,True,Candidate self-financing,0,0.0
Arizona,AZ06,David Schweikert,R,True,True,Other,151651,0.0669
Arizona,AZ06,Hiral Tipirneni,D,False,False,Small Individual Contributions (≤ $200),1190335,0.1889
Arizona,AZ06,Hiral Tipirneni,D,False,False,Large Individual Contributions,4092199,0.6494
Arizona,AZ06,Hiral Tipirneni,D,False,False,PAC Contributions*,646539,0.1026
Arizona,AZ06,Hiral Tipirneni,D,False,False,Candidate self-financing,26406,0.0042
Arizona,AZ06,Hiral Tipirneni,D,False,False,Other,345595,0.0548
Arizona,AZ06,Tom Lewellen,I,False,False,Small Individual Contributions (≤ $200),415,0.0355
